name,pop,cases_day,cases_week,rate_day,rate_week,trend,deaths_day,"New Deaths
Last 7 Days",Death Rate,Trend2,lockdown
North West,,,,,,,,,,,
Allerdale,"97,527",17,71,10.40,72.80,▲,,,0.00,➖,No Additional Restrictions
Barrow-in-Furness,"67,137",17,121,25.75,180.23,▲,,,1.49,➖,Area of Concern
Blackburn with Darwen,"148,942",51,365,35.01,245.06,▲,,,2.69,➖,Area of Intervention
Blackpool,"139,305",43,238,24.41,170.85,▲,,,1.44,➖,Area of Intervention
Bolton,"285,372",124,799,40.00,279.99,▲,,,1.75,➖,Area of Intervention
Burnley,"88,527",43,403,65.03,455.23,▲,,,6.78,➖,Area of Intervention
Bury,"190,108",87,554,41.63,291.41,▲,,,1.05,➖,Area of Intervention
Carlisle,"108,387",9,53,6.99,48.90,▲,,,0.00,➖,No Additional Restrictions
Cheshire East,"380,790",66,476,17.86,125.00,▲,,,0.26,➖,Area of Concern
Cheshire West and Chester,"340,502",69,448,18.80,131.57,▲,,,0.00,➖,Area of Concern
Chorley,"116,821",32,173,21.16,148.09,▲,,,0.00,➖,Area of Intervention
Copeland,"68,424",6,39,8.14,57.00,▲,,,1.46,➖,No Additional Restrictions
Eden,"52,881",3,18,4.86,34.04,▲,,,0.00,➖,No Additional Restrictions
Fylde,"79,770",15,106,18.98,132.88,▲,,,1.25,➖,Area of Intervention
Halton,"128,432",67,447,49.72,348.04,▲,,,1.56,➖,Area of Intervention
Hyndburn,"80,815",24,243,42.96,300.69,▲,,,4.95,➖,Area of Intervention
Knowsley,"149,571",140,877,83.76,586.34,▲,,,2.01,➖,Area of Intervention
Lancaster,"144,246",56,231,22.88,160.14,▲,,,1.39,➖,Area of Intervention
Liverpool,"380,790",428,"2,766",103.77,726.38,▲,,,4.46,➖,Area of Intervention
Manchester,"547,627",413,"3,211",83.76,586.35,▲,,,1.46,➖,Area of Intervention
Oldham,"235,623",85,645,39.11,273.74,▲,,,0.42,➖,Area of Intervention
Pendle,"91,405",34,304,47.51,332.59,▲,,,1.09,➖,Area of Intervention
Preston,"141,818",54,462,46.54,325.77,▲,,,2.82,➖,Area of Intervention
Ribble Valley,"60,057",16,129,30.69,214.80,▲,,,1.67,➖,Area of Intervention
Rochdale,"220,001",138,734,47.66,333.63,▲,,,1.36,➖,Area of Intervention
Rossendale,"70,895",27,192,38.69,270.82,▲,,,0.00,➖,Area of Intervention
Salford,"254,408",135,817,45.88,321.14,▲,,,6.29,➖,Area of Intervention
Sefton,"275,396",154,984,51.04,357.30,▲,,,3.63,➖,Area of Intervention
South Lakeland,"104,532",22,104,14.21,99.49,▲,,,1.91,➖,No Additional Restrictions
South Ribble,"110,527",15,207,26.75,187.28,▲,,,0.00,➖,Area of Intervention
St. Helens,"180,049",106,654,51.89,363.23,▲,,,0.00,➖,Area of Intervention
Stockport,"291,775",83,605,29.62,207.35,▲,,,1.37,➖,Area of Intervention
Tameside,"225,197",96,560,35.52,248.67,▲,,,13.77,➖,Area of Intervention
Trafford,"236,370",93,585,35.36,247.49,▲,,,0.42,➖,Area of Intervention
Warrington,"209,547",75,507,34.56,241.95,▲,,,2.39,➖,Area of Intervention
West Lancashire,"113,949",55,284,35.60,249.23,▲,,,3.51,➖,Area of Intervention
Wigan,"326,088",127,829,36.32,254.23,▲,,,0.31,➖,Area of Intervention
Wirral,"323,235",117,795,35.14,245.95,▲,,,2.78,➖,Area of Intervention
Wyre,"111,223",24,140,17.98,125.87,▲,,,0.90,➖,Area of Intervention
Greater London,,,,,,,,,,,
Barking and Dagenham,"211,998",23,135,9.10,63.68,▲,,,2.36,➖,Area of Concern
Barnet,"392,140",45,304,11.07,77.52,▲,,,0.26,➖,Area of Concern
Bexley,"247,258",20,123,7.11,49.75,▲,,,0.40,➖,Area of Concern
Brent,"330,795",29,227,9.80,68.62,▲,,,-0.30,➖,Area of Concern
Bromley,"331,096",24,154,6.64,46.51,▲,,,0.60,➖,Area of Concern
Camden,"262,226",30,131,7.14,49.96,▲,,,0.00,➖,Area of Concern
Croydon,"385,346",54,252,9.34,65.40,▲,,,0.26,➖,Area of Concern
Ealing,"341,982",48,270,11.28,78.95,▲,,,0.58,➖,Area of Concern
Enfield,"333,869",36,227,9.71,67.99,▲,,,0.00,➖,Area of Concern
Greenwich,"286,186",27,135,6.74,47.17,▲,,,0.00,➖,Area of Concern
Hackney and City of London,"288,371",38,276,13.67,95.71,▲,,,0.35,➖,Area of Concern
Hammersmith and Fulham,"185,426",20,129,9.94,69.57,▲,,,0.00,➖,Area of Concern
Haringey,"270,624",23,209,11.03,77.23,▲,,,1.11,➖,Area of Concern
Harrow,"250,149",32,190,10.85,75.95,▲,,,0.00,➖,Area of Concern
Havering,"257,810",15,166,9.20,64.39,▲,,,1.94,➖,Area of Concern
Hillingdon,"304,824",41,208,9.75,68.24,▲,,,0.00,➖,Area of Concern
Hounslow,"270,782",34,193,10.18,71.28,▲,,,0.37,➖,Area of Concern
Islington,"239,142",18,162,9.68,67.74,▲,,,0.42,➖,Area of Concern
Kensington and Chelsea,"156,197",7,78,7.13,49.94,▲,,,0.00,➖,Area of Concern
Kingston upon Thames,"175,470",20,108,8.79,61.55,▲,,,0.57,➖,Area of Concern
Lambeth,"325,917",42,220,9.64,67.50,▲,,,0.00,➖,Area of Concern
Lewisham,"303,536",38,192,9.04,63.25,▲,,,0.33,➖,Area of Concern
Merton,"206,186",11,81,5.61,39.28,▲,,,0.00,➖,Area of Concern
Newham,"352,005",43,241,9.78,68.46,▲,,,0.85,➖,Area of Concern
Redbridge,"303,858",58,313,14.72,103.01,▲,,,2.96,➖,Area of Concern
Richmond upon Thames,"196,904",25,181,13.13,91.92,▲,,,0.00,➖,Area of Concern
Southwark,"317,256",36,198,8.92,62.41,▲,,,0.00,➖,Area of Concern
Sutton,"204,525",9,67,4.68,32.76,▲,,,0.49,➖,Area of Concern
Tower Hamlets,"317,705",42,268,12.05,84.35,▲,,,0.63,➖,Area of Concern
Waltham Forest,"276,700",31,186,9.60,67.22,▲,,,1.45,➖,Area of Concern
Wandsworth,"326,474",49,200,8.75,61.26,▲,,,0.00,➖,Area of Concern
Westminster,"255,324",21,140,7.83,54.83,▲,,,0.00,➖,Area of Concern
North East,,,,,,,,,,,
County Durham,"526,980",153,"1,009",27.35,191.47,▲,,,0.38,➖,Area of Intervention
Darlington,"106,566",34,202,27.08,189.55,▲,,,0.00,➖,Enhanced Support
Gateshead,"202,508",91,474,33.44,234.06,▲,,,2.47,➖,Area of Intervention
Hartlepool,"93,242",30,235,36.00,252.03,▲,,,0.00,➖,Area of Intervention
Middlesbrough,"140,545",51,341,34.66,242.63,▲,,,2.13,➖,Area of Intervention
Newcastle upon Tyne,"300,196",243,"1,478",70.34,492.35,▲,,,2.00,➖,Area of Intervention
North Tyneside,"205,985",90,483,33.50,234.48,▲,,,0.49,➖,Area of Intervention
Northumberland,"320,274",124,627,27.97,195.77,▲,,,3.43,➖,Area of Intervention
Redcar and Cleveland,"136,718",35,209,21.84,152.87,▲,,,0.00,➖,Enhanced Support
South Tyneside,"150,265",60,466,44.30,310.12,▲,,,12.64,➖,Area of Intervention
Stockton-on-Tees,"197,213",60,396,28.69,200.80,▲,,,1.01,➖,Enhanced Support
Sunderland,"277,417",142,861,44.34,310.36,▲,,,2.88,➖,Area of Intervention
East Midlands,,,,,,,,,,,
Amber Valley,"126,678",13,90,10.15,71.05,▲,,,0.79,➖,No Additional Restrictions
Ashfield,"127,151",18,116,13.03,91.23,▲,,,1.57,➖,No Additional Restrictions
Bassetlaw,"116,839",17,95,11.62,81.31,▲,,,1.71,➖,No Additional Restrictions
Blaby,"100,421",15,97,13.80,96.59,▲,,,1.99,➖,Area of Concern
Bolsover,"79,530",15,56,10.06,70.41,▲,,,1.26,➖,No Additional Restrictions
Boston,"69,366",2,20,4.12,28.83,▲,,,0.00,➖,No Additional Restrictions
Broxtowe,"113,272",19,159,20.05,140.37,▲,,,0.88,➖,No Additional Restrictions
